        1.00339      385.30155    -1495.78257        3.05449        0.05180
        1.00753      386.89191    -1497.68164        3.04604        0.05316
        1.01304      389.00823    -1499.94240        3.03491        0.05451
        1.01900      391.29782    -1502.17006        3.02300        0.05585
        1.02432      393.34009    -1503.92980        3.01250        0.05718
        1.02788      394.70541    -1504.82008        3.00554        0.05851
        1.02875      395.04161    -1504.55229        3.00383        0.05983
        1.02640      394.13877    -1503.06832        3.00842        0.06115
        1.02077      391.97445    -1500.32031        3.01951        0.06246
        1.01225      388.70338    -1496.59816        3.03651        0.06377
        1.00161      384.61804    -1492.23735        3.05814        0.06508
        0.98979      380.07901    -1487.61169        3.08272        0.06637
        0.97775      375.45624    -1483.07324        3.10836        0.06765
        0.96634      371.07426    -1478.90564        3.13326        0.06891
        0.95617      367.16829    -1475.29406        3.15595        0.07015
        0.94757      363.86811    -1472.31892        3.17551        0.07137
        0.94065      361.21115    -1469.97735        3.19151        0.07257
        0.93532      359.16308    -1468.21539        3.20401        0.07374
        0.93139      357.65480    -1466.95474        3.21330        0.07488
        0.92865      356.60336    -1466.10816        3.21983        0.07600
        0.92689      355.92687    -1465.59137        3.22404        0.07709
        0.92590      355.54541    -1465.33883        3.22643        0.07815
        0.92553      355.40444    -1465.31535        3.22731        0.07919
        0.92575      355.48744    -1465.51954        3.22679        0.08019
        0.92658      355.80829    -1465.97457        3.22479        0.08117
        0.92812      356.39617    -1466.71096        3.22112        0.08212
        0.93041      357.27802    -1467.74767        3.21563        0.08305
        0.93349      358.46116    -1469.07384        3.20832        0.08394
        0.93729      359.91769    -1470.63790        3.19938        0.08482
        0.94160      361.57258    -1472.34548        3.18932        0.08567
        0.94613      363.31228    -1474.06593        3.17883        0.08649
        0.95050      364.99316    -1475.64730        3.16880        0.08730
        0.95432      366.45856    -1476.94218        3.16013        0.08808
        0.95722      367.57375    -1477.84453        3.15357        0.08884
        0.95905      368.27556    -1478.34030        3.14947        0.08959
        0.95993      368.61303    -1478.55670        3.14750        0.09031
        0.96040      368.79337    -1478.78245        3.14645        0.09102
        0.96139      369.17357    -1479.41680        3.14424        0.09170
        0.96396      370.16042    -1480.83061        3.13853        0.09237
        0.96887      372.04566    -1483.19914        3.12769        0.09302
        0.97622      374.86663    -1486.40724        3.11168        0.09366
        0.98533      378.36740    -1490.08863        3.09214        0.09429
        0.99506      382.10465    -1493.76416        3.07168        0.09491
        1.00419      385.60790    -1496.99830        3.05286        0.09554
        1.01173      388.50355    -1499.50806        3.03756        0.09617
        1.01720      390.60480    -1501.20768        3.02659        0.09681
        1.02064      391.92559    -1502.19284        3.01976        0.09747
        1.02248      392.63351    -1502.68742        3.01612        0.09813
        1.02341      392.98896    -1502.97153        3.01430        0.09881
        1.02417      393.28100    -1503.31048        3.01280        0.09949
        1.02535      393.73587    -1503.89892        3.01048        0.10019
        1.02735      394.50198    -1504.83483        3.00657        0.10090
        1.03028      395.62657    -1506.11935        3.00087        0.10163
        1.03402      397.06533    -1507.65975        2.99362        0.10237
        1.03822      398.67576    -1509.26575        2.98557        0.10312
        1.04226      400.22786    -1510.67351        2.97787        0.10388
        1.04544      401.44875    -1511.63790        2.97185        0.10467
